epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,265.421,0.94975,0.82191,0.91535,0.52235,0.33621,0.32276,0.18411,1.38551,1.11854,0.92278,0.004159,0.004159,0.004159
61,268.991,0.96444,0.85114,0.92948,0.52235,0.33621,0.32276,0.18411,1.38551,1.11854,0.92278,0.00406,0.00406,0.00406
62,272.557,1.30772,1.03338,1.2009,0.72027,0.31897,0.33619,0.20145,1.4521,1.04599,0.91479,0.003961,0.003961,0.003961
63,276.209,1.10046,0.75564,0.9818,0.72027,0.31897,0.33619,0.20145,1.4521,1.04599,0.91479,0.003862,0.003862,0.003862
64,279.743,0.79995,0.70895,0.91983,0.72027,0.31897,0.33619,0.20145,1.4521,1.04599,0.91479,0.003763,0.003763,0.003763
65,283.349,1.24586,1.69236,1.30348,0.72027,0.31897,0.33619,0.20145,1.4521,1.04599,0.91479,0.003664,0.003664,0.003664
66,286.893,0.98625,0.75693,1.04239,0.73679,0.31441,0.34226,0.20268,1.38786,1.01397,0.91502,0.003565,0.003565,0.003565
67,290.387,0.9058,0.61202,0.86956,0.73679,0.31441,0.34226,0.20268,1.38786,1.01397,0.91502,0.003466,0.003466,0.003466
68,293.895,0.98611,0.77245,0.93183,0.73679,0.31441,0.34226,0.20268,1.38786,1.01397,0.91502,0.003367,0.003367,0.003367
69,297.414,0.93123,0.86118,0.93917,0.76455,0.31897,0.34452,0.19666,1.32805,0.9399,0.89542,0.003268,0.003268,0.003268
70,301.35,1.00852,0.82225,0.9266,0.76455,0.31897,0.34452,0.19666,1.32805,0.9399,0.89542,0.003169,0.003169,0.003169
71,305.18,1.10412,0.82566,1.05979,0.76455,0.31897,0.34452,0.19666,1.32805,0.9399,0.89542,0.00307,0.00307,0.00307
72,309.099,0.89453,0.77491,0.8645,0.80699,0.31727,0.35174,0.20937,1.26998,0.93812,0.90145,0.002971,0.002971,0.002971
73,313.149,1.03618,0.75202,0.94233,0.80699,0.31727,0.35174,0.20937,1.26998,0.93812,0.90145,0.002872,0.002872,0.002872
74,317.063,0.72932,1.11765,0.70887,0.80699,0.31727,0.35174,0.20937,1.26998,0.93812,0.90145,0.002773,0.002773,0.002773
75,321.09,1.0481,0.82167,1.02703,0.7657,0.31897,0.35974,0.21559,1.29409,0.86021,0.9124,0.002674,0.002674,0.002674
